ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000349646
  Energy(MeV/n)              u              v              w              x              y              z
   4.079885e+01   4.907980e-01  -6.183352e-01  -6.138232e-01  -2.558228e+01   9.296922e+01   4.880580e+01
   2.690835e+02   6.239426e-02  -4.006325e-01  -9.141119e-01  -5.512534e+01   4.321852e+01   8.669152e+01
   1.284982e+03  -2.190728e-01   2.071347e-01  -9.534686e-01   8.378058e+01  -7.990032e+01   6.827265e+01
   2.947527e+03   3.646746e-01  -1.854508e-01  -9.124804e-01  -5.902840e+01  -7.158108e+01   1.005486e+02
   1.527176e+03   1.623991e-01   1.091281e-02  -9.866648e-01   7.877166e+01  -1.580782e+01   1.141420e+02
   1.619915e+02   2.591979e-01   4.974231e-01  -8.278808e-01  -5.198926e+01   6.204547e+00   1.082412e+02
   1.364059e+02  -1.748948e-01  -9.594798e-01  -2.209305e-01   3.039303e+01   1.104626e+02  -5.115719e+01
   6.290720e+02   1.859937e-01  -5.175847e-01  -8.351721e-01   1.102526e+01   1.038764e+02   5.781538e+01
   6.847906e+02  -1.228837e-01   4.644036e-01  -8.770570e-01   7.800353e+01  -7.073504e+01   6.563432e+01
   1.087457e+02   6.552237e-01   6.798214e-02  -7.523698e-01  -3.447126e+01  -7.118395e+01   9.646105e+01
   9.943333e+02   4.193142e-01  -2.633200e-01  -8.688142e-01  -6.427568e+01   8.476992e+01   5.838610e+01
   3.691194e+01   6.876771e-01   3.403884e-01  -6.412768e-01  -7.502910e+01  -6.792764e+01   3.942514e+01
   1.419173e+04   1.149071e-01  -2.243889e-01  -9.677014e-01  -5.255388e+01   5.897068e+00   9.572989e+01
   4.460553e+02  -8.443061e-02  -4.136669e-01  -9.065049e-01   9.419898e+01   1.883468e+01   9.294538e+01
   3.573767e+02   3.133187e-01   2.737818e-01  -9.093266e-01   1.003252e+00   3.371995e+01   1.204696e+02
   2.579856e+02  -1.619674e-01  -7.367502e-01   6.564798e-01  -3.602188e+01   6.081874e+01  -9.295968e+01
   3.022818e+02   5.004213e-01   6.608088e-02  -8.632565e-01  -1.632965e+01   3.513026e+01   1.090634e+02
   2.187615e+02   2.857182e-01   5.081459e-01  -8.124979e-01  -1.823505e+01  -1.250361e+02   3.846573e+01
   4.445822e+02  -3.399729e-01   3.936375e-01  -8.540890e-01   2.573674e+00  -1.094646e+02   6.560868e+01
   3.159528e+02  -1.780850e-01   1.877306e-02  -9.838360e-01  -5.553162e+01   4.571583e+01   1.125671e+02
   4.546084e+01   1.907506e-01   9.627749e-01  -1.915166e-01  -3.856488e+01  -7.710426e+01   9.612573e+01
   2.783455e+02   1.974772e-01   2.159936e-02  -9.800695e-01  -4.533138e+01  -2.585458e+01   9.232982e+01
   6.782367e+02   2.048647e-01   5.939538e-01  -7.779777e-01   2.392139e+01  -5.568893e+01   9.232141e+01
   2.417238e+03   8.591931e-02  -2.306375e-01  -9.692390e-01   5.481323e+01  -3.247488e+01   1.157603e+02
   5.663896e+02   1.487993e-01  -5.149519e-01  -8.442057e-01  -6.900361e+01   1.052767e+02   4.207492e+01
   1.229768e+03  -2.532918e-01  -1.304333e-01  -9.585564e-01   8.369516e+01   3.199840e+01   7.785358e+01
   1.517107e+02   2.369429e-01  -8.797636e-01   4.121578e-01  -5.214509e+01   9.469390e+01  -1.052108e+01
   2.594000e+02   6.375741e-01   3.762601e-02  -7.694696e-01  -6.020057e+01  -6.983533e+01   7.666326e+01
   1.311110e+02   4.680461e-01  -6.086136e-01  -6.407202e-01  -3.390799e+01   4.418184e+01   8.933671e+01
   2.766838e+02  -4.996838e-01   2.487568e-01  -8.297205e-01   1.241501e+02   1.265314e+01   4.954890e+01
   5.845181e+01   7.170104e-01   4.344285e-01  -5.451312e-01  -7.294112e+01  -1.196739e+02  -7.868391e+00
   1.094043e+02  -4.244806e-01  -1.061528e-01  -8.991929e-01  -3.866456e+01   2.377754e+01   1.266561e+02
   3.074525e+02  -4.647116e-01   8.837910e-01  -5.437423e-02   1.204509e+02  -4.749956e+01   3.761663e+01
   1.044738e+03  -3.873653e-01  -3.222599e-01  -8.637689e-01   7.855387e+01   1.093504e+02   3.974641e+01
   8.028185e+01   6.090653e-01   5.301955e-01  -5.898578e-01  -8.345999e+01  -6.475927e+01   2.514562e+01
   1.020670e+03   3.278839e-01  -6.626983e-01  -6.732928e-01   7.388020e+00   7.192567e+01   8.132776e+01
   1.748816e+02  -5.978496e-01   7.764054e-01  -1.994254e-01   4.142914e+01  -9.379162e+01   1.209116e+01
   2.507093e+02  -2.803069e-01  -6.910806e-01  -6.662099e-01  -3.041251e+01   9.026571e+01   6.926339e+01
